course,section,sequence,exercise_id
alpha,C,118,dividing-fractions-example
alpha,D,119,comparing_absolute_values
alpha,D,120,decimal-place-value
alpha,D,121,comparing-place-values-in-decimals
alpha,D,122,understanding_decimals_place_value
alpha,D,123,estimation_with_decimals
alpha,D,124,points-on-a-number-line
alpha,D,125,decimals_on_the_number_line_2
alpha,D,126,positive-and-negative-decimals-on-a-number-line
alpha,D,127,decimals_on_the_number_line_3
alpha,D,128,comparing_decimals_1
alpha,D,129,comparing_decimals_2
alpha,D,130,adding-decimals-example-1
alpha,D,131,adding-decimals-example-2
alpha,D,132,adding_decimals_0.5
alpha,D,133,adding_decimals
alpha,D,134,adding_decimals_2
alpha,D,135,subtracting-decimals-up-to-hundredths
alpha,D,136,subtracting_decimals_0.5
alpha,D,137,subtracting_decimals
alpha,D,138,subtracting-decimals-word-problem
alpha,D,139,adding_and_subtracting_decimals_word_problems
alpha,D,140,more-intuition-on-multiplying-decimals
alpha,D,141,multiplying-decimals
alpha,D,142,multiplying_decimals
alpha,D,143,dividing_decimals_0.5
alpha,D,144,dividing_decimals_1
alpha,D,145,dividing_decimals_2
alpha,D,146,converting_decimals_to_fractions_1
alpha,D,147,converting_decimals_to_fractions_2
alpha,D,148,converting_percents_to_decimals
alpha,D,149,finding_percents
alpha,D,150,dividing-a-decimal-by-a-power-of-10
alpha,D,151,converting_fractions_to_decimals_0.5
alpha,D,152,understanding_moving_the_decimal
alpha,D,153,decimals_on_the_number_line_1
alpha,D,154,exponents_1
